ID,日付,時間,緯度,経度,速度(km/hour),高度(m),WayPoint
1,2018-01-29,14:49:54,35.44704,136.67442,6.000,23.0,false
2,2018-01-29,14:50:17,35.44714,136.67458,19.800,20.0,false
3,2018-01-29,14:50:19,35.44726,136.67461,28.100,20.0,false
4,2018-01-29,14:50:21,35.44742,136.67465,34.100,20.0,false
5,2018-01-29,14:50:23,35.44759,136.67469,33.900,20.0,false
6,2018-01-29,14:50:25,35.44776,136.67472,32.290,20.0,false
7,2018-01-29,14:50:27,35.44791,136.67469,27.400,20.0,false
8,2018-01-29,14:50:30,35.44801,136.67450,25.000,21.0,false
9,2018-01-29,14:50:39,35.44805,136.67352,41.600,22.0,false
10,2018-01-29,14:50:47,35.44810,136.67240,46.300,23.0,false
11,2018-01-29,14:50:54,35.44815,136.67138,49.400,21.0,false
12,2018-01-29,14:51:04,35.44809,136.67039,19.390,20.0,false
13,2018-01-29,14:51:06,35.44797,136.67040,26.500,20.0,false
14,2018-01-29,14:51:08,35.44782,136.67041,32.600,20.0,false
15,2018-01-29,14:51:10,35.44764,136.67043,37.790,20.0,false
16,2018-01-29,14:51:11,35.44754,136.67044,40.000,20.0,false
17,2018-01-29,14:51:12,35.44744,136.67045,42.000,20.0,false
18,2018-01-29,14:51:13,35.44733,136.67046,44.200,20.0,false
19,2018-01-29,14:51:14,35.44722,136.67047,46.000,19.0,false
20,2018-01-29,14:51:15,35.44710,136.67048,47.700,19.0,false
21,2018-01-29,14:51:16,35.44698,136.67049,47.500,19.0,false
22,2018-01-29,14:51:17,35.44686,136.67050,47.600,19.0,false
23,2018-01-29,14:51:18,35.44674,136.67052,47.900,19.0,false
24,2018-01-29,14:51:19,35.44662,136.67053,48.400,19.0,false
25,2018-01-29,14:51:20,35.44649,136.67055,49.100,19.0,false
26,2018-01-29,14:51:21,35.44637,136.67056,49.800,19.0,false
27,2018-01-29,14:51:22,35.44624,136.67058,50.400,18.0,false
28,2018-01-29,14:51:23,35.44612,136.67060,50.300,18.0,false
29,2018-01-29,14:51:24,35.44600,136.67063,48.900,18.0,false
30,2018-01-29,14:51:25,35.44588,136.67068,48.000,18.0,false
31,2018-01-29,14:51:26,35.44577,136.67074,47.700,18.0,false
32,2018-01-29,14:51:27,35.44567,136.67082,48.900,18.0,false
33,2018-01-29,14:51:28,35.44557,136.67091,50.100,17.0,false
34,2018-01-29,14:51:29,35.44546,136.67100,50.800,17.0,false
35,2018-01-29,14:51:30,35.44536,136.67108,51.000,17.0,false
36,2018-01-29,14:51:31,35.44525,136.67117,50.800,17.0,false
37,2018-01-29,14:51:32,35.44515,136.67125,50.500,18.0,false
38,2018-01-29,14:51:33,35.44504,136.67133,50.300,18.0,false
39,2018-01-29,14:51:34,35.44493,136.67142,49.500,18.0,false
40,2018-01-29,14:51:35,35.44483,136.67150,48.000,19.0,false
41,2018-01-29,14:51:36,35.44474,136.67158,46.300,19.0,false
42,2018-01-29,14:51:37,35.44464,136.67166,43.400,19.0,false
43,2018-01-29,14:51:39,35.44449,136.67180,33.500,19.0,false
44,2018-01-29,14:51:41,35.44438,136.67189,22.000,19.0,false
45,2018-01-29,14:51:56,35.44434,136.67288,38.500,20.0,false
46,2018-01-29,14:53:28,35.44440,136.67377,11.800,17.0,false
47,2018-01-29,14:53:31,35.44454,136.67380,26.500,17.0,false
48,2018-01-29,14:53:33,35.44470,136.67385,35.400,16.0,false
49,2018-01-29,14:53:34,35.44479,136.67387,38.290,17.0,false
50,2018-01-29,14:53:35,35.44489,136.67390,40.900,18.0,false
51,2018-01-29,14:53:36,35.44500,136.67393,43.200,18.0,false
52,2018-01-29,14:53:37,35.44511,136.67397,45.600,18.0,false
53,2018-01-29,14:53:38,35.44522,136.67400,47.400,19.0,false
54,2018-01-29,14:53:39,35.44534,136.67404,48.700,19.0,false
55,2018-01-29,14:53:40,35.44546,136.67408,49.500,19.0,false
56,2018-01-29,14:53:41,35.44559,136.67412,49.800,19.0,false
57,2018-01-29,14:53:42,35.44571,136.67415,49.600,20.0,false
58,2018-01-29,14:53:43,35.44583,136.67419,49.300,20.0,false
59,2018-01-29,14:53:44,35.44595,136.67423,48.900,20.0,false
60,2018-01-29,14:53:45,35.44607,136.67426,48.400,20.0,false
61,2018-01-29,14:53:46,35.44619,136.67430,47.800,20.0,false
62,2018-01-29,14:53:47,35.44631,136.67433,46.900,20.0,false
63,2018-01-29,14:53:48,35.44642,136.67436,45.300,20.0,false
64,2018-01-29,14:53:49,35.44653,136.67439,43.600,20.0,false
65,2018-01-29,14:53:50,35.44664,136.67442,41.500,20.0,false
66,2018-01-29,14:53:51,35.44674,136.67445,40.290,20.0,false
67,2018-01-29,14:53:52,35.44684,136.67447,38.400,20.0,false
68,2018-01-29,14:53:53,35.44693,136.67450,36.400,20.0,false
69,2018-01-29,14:53:55,35.44709,136.67455,32.400,20.0,false
70,2018-01-29,14:53:57,35.44724,136.67459,28.200,20.0,false
71,2018-01-29,14:53:59,35.44738,136.67462,27.900,20.0,false
72,2018-01-29,14:54:01,35.44752,136.67465,28.100,21.0,false
73,2018-01-29,14:54:03,35.44766,136.67468,26.800,21.0,false
74,2018-01-29,14:54:05,35.44778,136.67470,23.600,21.0,false
75,2018-01-29,14:54:07,35.44790,136.67469,24.400,21.0,false
76,2018-01-29,14:54:09,35.44799,136.67459,25.800,21.0,false
77,2018-01-29,14:54:16,35.44806,136.67387,40.000,21.0,false
78,2018-01-29,14:54:24,35.44811,136.67289,42.600,21.0,false
79,2018-01-29,14:54:31,35.44815,136.67190,47.300,21.0,false
80,2018-01-29,14:54:38,35.44819,136.67089,43.700,21.0,false
81,2018-01-29,14:54:45,35.44810,136.67038,23.000,21.0,false
82,2018-01-29,14:54:47,35.44796,136.67039,31.700,22.0,false
83,2018-01-29,14:54:49,35.44778,136.67041,37.400,21.0,false
84,2018-01-29,14:54:50,35.44768,136.67042,40.200,21.0,false
85,2018-01-29,14:54:51,35.44757,136.67043,42.800,20.0,false
86,2018-01-29,14:54:52,35.44745,136.67044,44.800,20.0,false
87,2018-01-29,14:54:53,35.44734,136.67046,46.400,20.0,false
88,2018-01-29,14:54:54,35.44722,136.67047,48.100,20.0,false
89,2018-01-29,14:54:55,35.44709,136.67048,49.500,20.0,false
90,2018-01-29,14:54:56,35.44697,136.67049,50.600,20.0,false
91,2018-01-29,14:54:57,35.44684,136.67050,51.800,20.0,false
92,2018-01-29,14:54:58,35.44671,136.67052,52.400,20.0,false
93,2018-01-29,14:54:59,35.44657,136.67053,53.000,20.0,false
94,2018-01-29,14:55:00,35.44644,136.67055,53.500,20.0,false
95,2018-01-29,14:55:01,35.44630,136.67057,53.800,20.0,false
96,2018-01-29,14:55:02,35.44617,136.67059,53.200,20.0,false
97,2018-01-29,14:55:03,35.44604,136.67061,52.100,20.0,false
98,2018-01-29,14:55:04,35.44591,136.67065,50.900,20.0,false
99,2018-01-29,14:55:05,35.44579,136.67072,50.500,20.0,false
100,2018-01-29,14:55:06,35.44568,136.67080,50.500,19.0,false
101,2018-01-29,14:55:07,35.44558,136.67089,50.800,19.0,false
102,2018-01-29,14:55:08,35.44547,136.67098,51.300,18.0,false
103,2018-01-29,14:55:09,35.44537,136.67107,51.800,19.0,false
104,2018-01-29,14:55:10,35.44526,136.67116,51.300,18.0,false
105,2018-01-29,14:55:11,35.44515,136.67125,50.300,18.0,false
106,2018-01-29,14:55:12,35.44505,136.67133,49.100,18.0,false
107,2018-01-29,14:55:13,35.44495,136.67141,47.400,18.0,false
108,2018-01-29,14:55:14,35.44485,136.67149,46.100,18.0,false
109,2018-01-29,14:55:15,35.44476,136.67156,44.200,18.0,false
110,2018-01-29,14:55:17,35.44459,136.67171,38.000,18.0,false
111,2018-01-29,14:55:19,35.44445,136.67183,28.900,18.0,false
112,2018-01-29,14:55:22,35.44435,136.67192,7.500,18.0,false
113,2018-01-29,14:55:44,35.44436,136.67300,0.700,19.0,false
114,2018-01-29,14:55:59,35.44444,136.67379,16.100,19.0,false
115,2018-01-29,14:56:01,35.44456,136.67382,27.200,20.0,false
116,2018-01-29,14:56:03,35.44471,136.67386,32.290,20.0,false
117,2018-01-29,14:56:05,35.44488,136.67391,35.290,21.0,false
118,2018-01-29,14:56:06,35.44497,136.67394,36.000,21.0,false
119,2018-01-29,14:56:07,35.44506,136.67397,37.600,21.0,false
120,2018-01-29,14:56:08,35.44516,136.67399,39.290,22.0,false
121,2018-01-29,14:56:09,35.44526,136.67403,41.100,22.0,false
122,2018-01-29,14:56:10,35.44536,136.67406,42.900,22.0,false
123,2018-01-29,14:56:11,35.44547,136.67409,44.600,22.0,false
124,2018-01-29,14:56:12,35.44558,136.67413,45.600,22.0,false
125,2018-01-29,14:56:13,35.44569,136.67416,44.900,22.0,false
126,2018-01-29,14:56:14,35.44580,136.67419,44.200,22.0,false
127,2018-01-29,14:56:15,35.44591,136.67423,43.900,22.0,false
128,2018-01-29,14:56:16,35.44602,136.67426,43.500,22.0,false
129,2018-01-29,14:56:17,35.44613,136.67429,43.300,22.0,false
130,2018-01-29,14:56:18,35.44623,136.67432,42.900,22.0,false
131,2018-01-29,14:56:19,35.44634,136.67435,42.500,22.0,false
132,2018-01-29,14:56:20,35.44644,136.67438,41.900,22.0,false
133,2018-01-29,14:56:21,35.44654,136.67441,41.100,22.0,false
134,2018-01-29,14:56:22,35.44664,136.67443,40.200,23.0,false
135,2018-01-29,14:56:23,35.44674,136.67446,39.900,23.0,false
136,2018-01-29,14:56:24,35.44684,136.67449,39.000,23.0,false
137,2018-01-29,14:56:25,35.44693,136.67452,37.790,23.0,false
138,2018-01-29,14:56:26,35.44703,136.67454,36.700,23.0,false
139,2018-01-29,14:56:28,35.44720,136.67459,35.200,23.0,false
140,2018-01-29,14:56:30,35.44737,136.67463,33.790,23.0,false
141,2018-01-29,14:56:32,35.44754,136.67467,32.900,24.0,false
142,2018-01-29,14:56:34,35.44770,136.67471,30.200,24.0,false
143,2018-01-29,14:56:36,35.44783,136.67472,23.700,24.0,false
144,2018-01-29,14:56:38,35.44793,136.67470,20.500,24.0,false
145,2018-01-29,14:56:41,35.44803,136.67454,24.300,24.0,false
146,2018-01-29,14:56:51,35.44808,136.67358,31.400,23.0,false
147,2018-01-29,14:57:00,35.44812,136.67255,40.900,23.0,false
148,2018-01-29,14:57:08,35.44817,136.67146,46.600,23.0,false
149,2018-01-29,14:57:19,35.44811,136.67039,20.500,22.0,false
150,2018-01-29,14:57:21,35.44799,136.67041,27.300,22.0,false
151,2018-01-29,14:57:23,35.44784,136.67042,34.100,22.0,false
152,2018-01-29,14:57:24,35.44774,136.67043,36.900,22.0,false
153,2018-01-29,14:57:25,35.44764,136.67045,39.790,21.0,false
154,2018-01-29,14:57:26,35.44754,136.67046,42.400,20.0,false
155,2018-01-29,14:57:27,35.44743,136.67047,44.500,19.0,false
156,2018-01-29,14:57:28,35.44731,136.67048,46.100,19.0,false
157,2018-01-29,14:57:29,35.44719,136.67049,47.700,19.0,false
158,2018-01-29,14:57:30,35.44707,136.67050,48.900,19.0,false
159,2018-01-29,14:57:31,35.44695,136.67051,49.600,19.0,false
160,2018-01-29,14:57:32,35.44682,136.67053,50.300,19.0,false
161,2018-01-29,14:57:33,35.44669,136.67054,50.600,19.0,false
162,2018-01-29,14:57:34,35.44656,136.67055,50.000,19.0,false
163,2018-01-29,14:57:35,35.44644,136.67057,49.800,19.0,false
164,2018-01-29,14:57:36,35.44632,136.67058,48.400,19.0,false
165,2018-01-29,14:57:37,35.44619,136.67060,48.200,19.0,false
166,2018-01-29,14:57:38,35.44607,136.67063,47.100,19.0,false
167,2018-01-29,14:57:39,35.44596,136.67066,45.800,18.0,false
168,2018-01-29,14:57:40,35.44585,136.67071,45.900,19.0,false
169,2018-01-29,14:57:41,35.44576,136.67078,44.900,19.0,false
170,2018-01-29,14:57:42,35.44567,136.67086,43.400,19.0,false
171,2018-01-29,14:57:43,35.44558,136.67093,42.700,19.0,false
172,2018-01-29,14:57:45,35.44540,136.67107,41.000,19.0,false
173,2018-01-29,14:57:47,35.44523,136.67121,40.290,19.0,false
174,2018-01-29,14:57:49,35.44507,136.67135,39.700,19.0,false
175,2018-01-29,14:57:51,35.44490,136.67148,38.290,18.0,false
176,2018-01-29,14:57:53,35.44475,136.67160,36.700,19.0,false
177,2018-01-29,14:57:55,35.44460,136.67172,33.790,19.0,false
178,2018-01-29,14:57:57,35.44447,136.67183,28.800,19.0,false
179,2018-01-29,14:58:00,35.44436,136.67193,10.400,19.0,false
180,2018-01-29,14:58:14,35.44437,136.67309,47.400,23.0,false
181,2018-01-29,14:58:25,35.44447,136.67380,19.100,21.0,false
182,2018-01-29,14:58:27,35.44459,136.67383,28.100,21.0,false
183,2018-01-29,14:58:29,35.44475,136.67388,36.100,21.0,false
184,2018-01-29,14:58:30,35.44485,136.67391,39.600,21.0,false
185,2018-01-29,14:58:31,35.44495,136.67394,42.500,21.0,false
186,2018-01-29,14:58:32,35.44506,136.67397,44.600,21.0,false
187,2018-01-29,14:58:33,35.44517,136.67401,46.000,21.0,false
188,2018-01-29,14:58:34,35.44529,136.67404,46.700,21.0,false
189,2018-01-29,14:58:35,35.44540,136.67408,47.400,21.0,false
190,2018-01-29,14:58:36,35.44552,136.67412,47.900,21.0,false
191,2018-01-29,14:58:37,35.44564,136.67416,48.100,21.0,false
192,2018-01-29,14:58:38,35.44576,136.67419,47.900,21.0,false
193,2018-01-29,14:58:39,35.44588,136.67423,47.500,21.0,false
194,2018-01-29,14:58:40,35.44600,136.67426,47.800,22.0,false
195,2018-01-29,14:58:41,35.44612,136.67430,47.900,21.0,false
196,2018-01-29,14:58:42,35.44623,136.67433,48.200,21.0,false
197,2018-01-29,14:58:43,35.44635,136.67437,48.400,21.0,false
198,2018-01-29,14:58:44,35.44647,136.67440,48.600,22.0,false
199,2018-01-29,14:58:45,35.44659,136.67444,48.400,22.0,false
200,2018-01-29,14:58:46,35.44671,136.67447,48.600,22.0,false
201,2018-01-29,14:58:47,35.44682,136.67450,48.600,22.0,false
202,2018-01-29,14:58:48,35.44694,136.67454,48.100,22.0,false
203,2018-01-29,14:58:49,35.44706,136.67457,47.400,22.0,false
204,2018-01-29,14:58:50,35.44718,136.67460,46.100,22.0,false
205,2018-01-29,14:58:51,35.44729,136.67463,44.400,22.0,false
206,2018-01-29,14:58:52,35.44740,136.67465,42.800,22.0,false
207,2018-01-29,14:58:53,35.44750,136.67468,40.700,22.0,false
208,2018-01-29,14:58:54,35.44759,136.67470,39.000,22.0,false
209,2018-01-29,14:58:55,35.44769,136.67472,37.000,23.0,false
210,2018-01-29,14:58:57,35.44784,136.67474,27.600,23.0,false
211,2018-01-29,14:58:59,35.44796,136.67469,24.200,24.0,false
212,2018-01-29,14:59:04,35.44804,136.67427,37.400,26.0,false
213,2018-01-29,14:59:12,35.44807,136.67320,42.800,28.0,false
214,2018-01-29,14:59:20,35.44812,136.67208,46.500,30.0,false
215,2018-01-29,14:59:27,35.44816,136.67107,44.500,29.0,false
216,2018-01-29,14:59:35,35.44809,136.67040,20.900,29.0,false
217,2018-01-29,14:59:37,35.44796,136.67041,27.600,29.0,false
218,2018-01-29,14:59:39,35.44779,136.67042,37.900,29.0,false
219,2018-01-29,14:59:40,35.44769,136.67043,41.400,29.0,false
220,2018-01-29,14:59:41,35.44757,136.67045,44.900,28.0,false
221,2018-01-29,14:59:42,35.44745,136.67046,47.700,28.0,false
222,2018-01-29,14:59:43,35.44733,136.67047,49.700,27.0,false
223,2018-01-29,14:59:44,35.44721,136.67049,50.700,27.0,false
224,2018-01-29,14:59:45,35.44708,136.67050,52.100,26.0,false
225,2018-01-29,14:59:46,35.44694,136.67051,53.100,26.0,false
226,2018-01-29,14:59:47,35.44681,136.67052,54.100,26.0,false
227,2018-01-29,14:59:48,35.44667,136.67054,55.000,26.0,false
228,2018-01-29,14:59:49,35.44653,136.67055,55.600,26.0,false
229,2018-01-29,14:59:50,35.44639,136.67057,56.400,26.0,false
230,2018-01-29,14:59:51,35.44625,136.67059,56.400,26.0,false
231,2018-01-29,14:59:52,35.44611,136.67061,55.500,25.0,false
232,2018-01-29,14:59:53,35.44597,136.67064,54.400,25.0,false
233,2018-01-29,14:59:54,35.44585,136.67070,53.300,25.0,false
234,2018-01-29,14:59:55,35.44573,136.67078,52.800,24.0,false
235,2018-01-29,14:59:56,35.44562,136.67087,52.200,24.0,false
236,2018-01-29,14:59:57,35.44552,136.67096,52.200,24.0,false
237,2018-01-29,14:59:58,35.44541,136.67106,51.900,23.0,false
238,2018-01-29,14:59:59,35.44530,136.67114,51.100,23.0,false
239,2018-01-29,15:00:00,35.44519,136.67123,50.400,23.0,false
240,2018-01-29,15:00:01,35.44509,136.67132,49.400,23.0,false
241,2018-01-29,15:00:02,35.44499,136.67140,48.300,24.0,false
242,2018-01-29,15:00:03,35.44489,136.67147,46.900,24.0,false
243,2018-01-29,15:00:04,35.44479,136.67155,45.600,24.0,false
244,2018-01-29,15:00:05,35.44470,136.67163,44.300,24.0,false
245,2018-01-29,15:00:07,35.44453,136.67177,37.500,24.0,false
246,2018-01-29,15:00:09,35.44441,136.67188,25.100,25.0,false
247,2018-01-29,15:00:13,35.44432,136.67195,5.000,25.0,false
248,2018-01-29,15:00:26,35.44435,136.67303,36.000,26.0,false
249,2018-01-29,15:00:39,35.44442,136.67377,13.200,26.0,false
250,2018-01-29,15:00:41,35.44451,136.67380,24.300,26.0,false
251,2018-01-29,15:00:43,35.44466,136.67384,33.790,25.0,false
252,2018-01-29,15:00:44,35.44475,136.67387,37.000,25.0,false
253,2018-01-29,15:00:45,35.44485,136.67390,40.000,25.0,false
254,2018-01-29,15:00:46,35.44495,136.67394,42.000,25.0,false
255,2018-01-29,15:00:47,35.44505,136.67397,43.500,25.0,false
256,2018-01-29,15:00:48,35.44516,136.67400,44.600,24.0,false
257,2018-01-29,15:00:49,35.44528,136.67404,45.400,24.0,false
258,2018-01-29,15:00:50,35.44539,136.67408,46.300,24.0,false
259,2018-01-29,15:00:51,35.44550,136.67411,46.900,24.0,false
260,2018-01-29,15:00:52,35.44562,136.67415,47.400,24.0,false
261,2018-01-29,15:00:53,35.44574,136.67419,47.200,24.0,false
262,2018-01-29,15:00:54,35.44585,136.67422,47.000,24.0,false
263,2018-01-29,15:00:55,35.44597,136.67426,46.900,24.0,false
264,2018-01-29,15:00:56,35.44608,136.67429,47.000,24.0,false
265,2018-01-29,15:00:57,35.44620,136.67432,47.100,24.0,false
266,2018-01-29,15:00:58,35.44631,136.67436,47.300,24.0,false
267,2018-01-29,15:00:59,35.44643,136.67439,47.600,24.0,false
268,2018-01-29,15:01:00,35.44655,136.67442,47.900,24.0,false
269,2018-01-29,15:01:01,35.44667,136.67445,47.700,24.0,false
270,2018-01-29,15:01:02,35.44678,136.67449,47.800,24.0,false
271,2018-01-29,15:01:03,35.44690,136.67452,47.300,24.0,false
272,2018-01-29,15:01:04,35.44702,136.67455,47.200,24.0,false
273,2018-01-29,15:01:05,35.44713,136.67458,46.800,24.0,false
274,2018-01-29,15:01:06,35.44725,136.67461,45.900,25.0,false
275,2018-01-29,15:01:07,35.44736,136.67463,44.300,25.0,false
276,2018-01-29,15:01:08,35.44747,136.67466,42.400,25.0,false
277,2018-01-29,15:01:09,35.44757,136.67468,39.790,25.0,false
278,2018-01-29,15:01:10,35.44766,136.67470,36.500,26.0,false
279,2018-01-29,15:01:12,35.44782,136.67472,27.400,26.0,false
280,2018-01-29,15:01:14,35.44794,136.67469,23.600,26.0,false
281,2018-01-29,15:01:17,35.44803,136.67448,28.900,26.0,false
282,2018-01-29,15:01:26,35.44807,136.67334,44.700,26.0,false
283,2018-01-29,15:01:34,35.44811,136.67221,44.900,26.0,false
284,2018-01-29,15:01:41,35.44816,136.67121,45.800,26.0,false
285,2018-01-29,15:01:50,35.44809,136.67038,21.100,26.0,false
286,2018-01-29,15:01:52,35.44795,136.67039,28.000,26.0,false
287,2018-01-29,15:01:54,35.44778,136.67041,36.600,26.0,false
288,2018-01-29,15:01:55,35.44768,136.67042,40.100,26.0,false
289,2018-01-29,15:01:56,35.44758,136.67043,42.800,26.0,false
290,2018-01-29,15:01:57,35.44746,136.67044,45.000,26.0,false
291,2018-01-29,15:01:58,35.44735,136.67045,47.000,25.0,false
292,2018-01-29,15:01:59,35.44723,136.67046,47.900,25.0,false
293,2018-01-29,15:02:00,35.44711,136.67048,48.400,25.0,false
294,2018-01-29,15:02:01,35.44699,136.67049,48.800,24.0,false
295,2018-01-29,15:02:02,35.44686,136.67050,49.300,24.0,false
296,2018-01-29,15:02:03,35.44674,136.67051,48.500,24.0,false
297,2018-01-29,15:02:04,35.44662,136.67052,47.300,24.0,false
298,2018-01-29,15:02:05,35.44650,136.67053,46.100,24.0,false
299,2018-01-29,15:02:06,35.44638,136.67054,45.000,24.0,false
300,2018-01-29,15:02:07,35.44627,136.67055,45.100,24.0,false
301,2018-01-29,15:02:08,35.44616,136.67057,45.900,24.0,false
302,2018-01-29,15:02:09,35.44604,136.67060,46.700,24.0,false
303,2018-01-29,15:02:10,35.44593,136.67064,46.700,24.0,false
304,2018-01-29,15:02:11,35.44582,136.67071,47.200,24.0,false
305,2018-01-29,15:02:12,35.44572,136.67079,48.000,24.0,false
306,2018-01-29,15:02:13,35.44563,136.67088,48.800,23.0,false
307,2018-01-29,15:02:14,35.44552,136.67096,49.100,23.0,false
308,2018-01-29,15:02:15,35.44542,136.67105,49.800,23.0,false
309,2018-01-29,15:02:16,35.44532,136.67113,50.100,23.0,false
310,2018-01-29,15:02:17,35.44521,136.67122,49.400,23.0,false
311,2018-01-29,15:02:18,35.44511,136.67130,49.100,23.0,false
312,2018-01-29,15:02:19,35.44501,136.67138,48.100,23.0,false
313,2018-01-29,15:02:20,35.44491,136.67146,47.200,24.0,false
314,2018-01-29,15:02:21,35.44481,136.67154,45.900,24.0,false
315,2018-01-29,15:02:22,35.44471,136.67162,44.500,24.0,false
316,2018-01-29,15:02:24,35.44454,136.67176,40.400,24.0,false
317,2018-01-29,15:02:26,35.44440,136.67188,27.900,24.0,false
318,2018-01-29,15:02:40,35.44434,136.67267,32.900,25.0,false
319,2018-01-29,15:02:56,35.44437,136.67372,16.100,27.0,false
320,2018-01-29,15:02:59,35.44446,136.67380,19.100,27.0,false
321,2018-01-29,15:03:01,35.44458,136.67383,28.500,26.0,false
322,2018-01-29,15:03:03,35.44474,136.67387,35.000,26.0,false
323,2018-01-29,15:03:04,35.44483,136.67390,38.200,26.0,false
324,2018-01-29,15:03:05,35.44493,136.67394,39.700,26.0,false
325,2018-01-29,15:03:06,35.44503,136.67397,41.400,26.0,false
326,2018-01-29,15:03:07,35.44514,136.67400,43.000,26.0,false
327,2018-01-29,15:03:08,35.44525,136.67404,44.200,26.0,false
328,2018-01-29,15:03:09,35.44536,136.67407,45.100,26.0,false
329,2018-01-29,15:03:10,35.44547,136.67411,45.400,26.0,false
330,2018-01-29,15:03:11,35.44558,136.67414,45.700,26.0,false
331,2018-01-29,15:03:12,35.44569,136.67418,44.600,25.0,false
332,2018-01-29,15:03:13,35.44580,136.67422,43.400,25.0,false
333,2018-01-29,15:03:14,35.44590,136.67425,42.200,25.0,false
334,2018-01-29,15:03:15,35.44601,136.67428,40.900,25.0,false
335,2018-01-29,15:03:16,35.44611,136.67431,41.500,25.0,false
336,2018-01-29,15:03:17,35.44621,136.67434,42.400,25.0,false
337,2018-01-29,15:03:18,35.44632,136.67437,42.900,25.0,false
338,2018-01-29,15:03:19,35.44642,136.67440,43.200,25.0,false
339,2018-01-29,15:03:20,35.44653,136.67443,44.100,25.0,false
340,2018-01-29,15:03:21,35.44664,136.67446,44.700,25.0,false
341,2018-01-29,15:03:22,35.44675,136.67449,45.400,25.0,false
342,2018-01-29,15:03:23,35.44686,136.67452,45.400,25.0,false
343,2018-01-29,15:03:24,35.44697,136.67455,45.400,25.0,false
344,2018-01-29,15:03:25,35.44709,136.67458,44.900,26.0,false
345,2018-01-29,15:03:26,35.44719,136.67461,43.100,26.0,false
346,2018-01-29,15:03:27,35.44730,136.67463,41.200,26.0,false
347,2018-01-29,15:03:28,35.44740,136.67466,39.500,26.0,false
348,2018-01-29,15:03:29,35.44750,136.67467,37.700,26.0,false
349,2018-01-29,15:03:30,35.44759,136.67469,35.900,27.0,false
350,2018-01-29,15:03:32,35.44775,136.67472,28.600,27.0,false
351,2018-01-29,15:03:34,35.44787,136.67473,20.700,28.0,false
352,2018-01-29,15:03:36,35.44796,136.67467,21.200,28.0,false
353,2018-01-29,15:03:42,35.44804,136.67412,40.290,28.0,false
354,2018-01-29,15:03:50,35.44809,136.67304,40.100,27.0,false
355,2018-01-29,15:03:58,35.44813,136.67192,48.700,27.0,false
356,2018-01-29,15:04:05,35.44817,136.67087,44.000,26.0,false
357,2018-01-29,15:04:12,35.44808,136.67037,19.390,26.0,false
358,2018-01-29,15:04:14,35.44796,136.67039,25.100,25.0,false
359,2018-01-29,15:04:16,35.44781,136.67042,32.600,25.0,false
360,2018-01-29,15:04:18,35.44763,136.67044,37.900,25.0,false
361,2018-01-29,15:04:19,35.44753,136.67044,40.200,24.0,false
362,2018-01-29,15:04:20,35.44742,136.67044,41.800,24.0,false
363,2018-01-29,15:04:21,35.44731,136.67045,43.200,24.0,false
364,2018-01-29,15:04:22,35.44720,136.67046,44.300,25.0,false
365,2018-01-29,15:04:23,35.44709,136.67047,45.300,25.0,false
366,2018-01-29,15:04:24,35.44697,136.67049,47.000,25.0,false
367,2018-01-29,15:04:25,35.44685,136.67050,48.200,26.0,false
368,2018-01-29,15:04:26,35.44673,136.67052,49.700,26.0,false
369,2018-01-29,15:04:27,35.44660,136.67053,50.700,26.0,false
370,2018-01-29,15:04:28,35.44647,136.67054,51.600,26.0,false
371,2018-01-29,15:04:29,35.44634,136.67055,52.200,27.0,false
372,2018-01-29,15:04:30,35.44621,136.67057,52.100,27.0,false
373,2018-01-29,15:04:31,35.44608,136.67059,50.900,27.0,false
374,2018-01-29,15:04:32,35.44595,136.67061,49.500,29.0,false
375,2018-01-29,15:04:33,35.44584,136.67066,48.700,28.0,false
376,2018-01-29,15:04:34,35.44573,136.67073,48.100,27.0,false
377,2018-01-29,15:04:35,35.44564,136.67082,47.400,26.0,false
378,2018-01-29,15:04:36,35.44555,136.67091,46.500,24.0,false
379,2018-01-29,15:04:37,35.44546,136.67101,47.300,24.0,false
380,2018-01-29,15:04:38,35.44536,136.67109,47.900,23.0,false
381,2018-01-29,15:04:39,35.44527,136.67118,47.100,22.0,false
382,2018-01-29,15:04:40,35.44517,136.67126,46.200,22.0,false
383,2018-01-29,15:04:41,35.44507,136.67133,45.100,22.0,false
384,2018-01-29,15:04:42,35.44498,136.67141,43.800,23.0,false
385,2018-01-29,15:04:43,35.44489,136.67148,42.600,23.0,false
386,2018-01-29,15:04:45,35.44471,136.67161,39.600,23.0,false
387,2018-01-29,15:04:47,35.44456,136.67175,35.790,23.0,false
388,2018-01-29,15:04:49,35.44443,136.67185,26.800,23.0,false
389,2018-01-29,15:04:52,35.44434,136.67193,6.800,23.0,false
390,2018-01-29,15:05:06,35.44434,136.67306,38.500,23.0,false
391,2018-01-29,15:05:16,35.44444,136.67381,19.000,23.0,false
392,2018-01-29,15:05:18,35.44456,136.67384,29.700,23.0,false
393,2018-01-29,15:05:20,35.44474,136.67389,39.000,23.0,false
394,2018-01-29,15:05:21,35.44484,136.67392,42.500,23.0,false
395,2018-01-29,15:05:22,35.44495,136.67396,45.200,23.0,false
396,2018-01-29,15:05:23,35.44507,136.67399,46.500,23.0,false
397,2018-01-29,15:05:24,35.44519,136.67403,47.800,23.0,false
398,2018-01-29,15:05:25,35.44531,136.67407,48.600,22.0,false
399,2018-01-29,15:05:26,35.44543,136.67410,48.800,22.0,false
